,artist_name,track_name,track_id,popularity
878,KAROL G,Mi Cama,5qYHWf6T9dRrKoaHqeTBIK,0
879,THE YELLOW MONKEY,Rosanna - 2022 Remaster,6TACEZfESIGhlj0iGKlbgM,3
880,KAROL G,Mi Cama - Remix,4EwRoOgRxenxaZVJEC1Cya,0
881,Gym Workout Downtown,Motivation in 2022,77pUyPf2F9K1OqEmDKvFU2,0
882,KAROL G,A Ella,3GGRUS6wdxtRCooId10iXP,0
883,THE YELLOW MONKEY,Tactics - 2022 Remaster,1oJHNcGUnCW4NHk4CT8YFU,6
884,KAROL G,Hello,0marapinvvciHpC3PuEe5S,0
885,THE YELLOW MONKEY,Ladybug - 2022 Remaster,5tBEwjAFm5tiGW0fIEpi4E,4
886,KAROL G,Bebesita,731HQuV2kPVF7zLpUHvLSw,0
887,THE YELLOW MONKEY,ALRIGHT - 2022 Remaster,670jcsXFL0SdPDnEBTgfOS,4
888,KAROL G,Bebesita,1REQu49TQKsvrIsxc4uwp1,0
889,THE YELLOW MONKEY,Fantasy - 2022 Remaster,59zRfOVWyxlxpJ9RPSfJiz,3
890,KAROL G,Pineapple,6YEf5ba2Ql6y4FleWpHkAP,0
891,THE YELLOW MONKEY,Pearl - 2022 Remaster,5ifVAiOA4qlJR6dT7DWvnX,5
892,KAROL G,Casi Nada,7kPE5ECkyaxm6mmAKq9gAX,0
893,THE YELLOW MONKEY,Primal. - 2022 Remaster,7fYX46VXhDuuoc3UcYKBaw,5
894,KAROL G,A Ella,0yG4D8nn5Ysa3m4angunZl,0
895,THE YELLOW MONKEY,BURN - 2022 Remaster,4p5QRpC7Xks4KFo74rPBrv,7
896,KAROL G,LOCATION,5QkbY1om98TqRZAMZkAKga,0
897,THE YELLOW MONKEY,Bulb - 2022 Remaster,50NoYcZ0eM2AABpioJ7smS,6
898,KAROL G,Casi Nada - Nando Pro Remix,4fEg9JLVYQ8dKXoqXh5U0f,0
899,Meenu Muradya,Happy New Year 2022 Gayi Rae Purani Nai Lag Gi Maja M Rijyo Dosti Mhara,6l1n4dLEQJSA6DUCf3jZ3W,0
900,KAROL G,LOCATION,4AkrGPbq9bu0lI3TLGl2sd,0
901,THE YELLOW MONKEY,Rosy Days - 2022 Remaster,5nlAtDjfqF58o3O9cATwE4,6
902,KAROL G,Follow,3wOvwZiTKMwc2AExkUzBwB,0
903,Christopher Ramseur,Years,4jZvsvNl131IOgiQDGmqcu,0
904,KAROL G,Casi Nada - Nando Pro Remix,7eskZVpt0nqfJuujbxWxaX,0
905,Aney F.,Violin 2022 Mix - Vocal Mixed,7miyBJjXCBmcCQ1bRIR6K6,0
906,KAROL G,Bebesita,6HgsVoLif3puqj7aQCmuVz,0
907,THE YELLOW MONKEY,BRILLIANT WORLD - 2022 Remaster,2WIoD4ihiQ1sFpfR0jyHn2,3
908,KAROL G,Hello,01XVANv3Vv3kHw1lF3MdzX,0
909,THE YELLOW MONKEY,Love Communication - 2022 Remaster,5GDPF2w5zNb8iuygKTmW0u,5
910,KAROL G,Mi Cama - Remix,5Oe9791rcYEqG8XosT6K8S,0
911,THE YELLOW MONKEY,Balloon Balloon - 2022 Remaster,7EHu6QJ16umhFbn1j8vnkW,3
912,KAROL G,Bebesita,5lLwcQjEDkTxbY0LBF8BWq,0
